Freedom Paws — 10-Year Quarterly Growth Model (Base Case),,,,,,,,,,
Companion to Freedom-Paws-10-Year-Vision-Valuation-and-Growth-Plan-June-2026.md,,,,,,,,,,
Y1-Y5 revenue/members align with Freedom-Paws-5-Year-Financial-Model.csv; Y6-Y10 extrapolated,,,,,,,,,,
,,,,,,,,,,
Quarter,Calendar,Total Members,Paying Members,New Paying (Qtr),Quarterly Revenue,Quarterly Expenses,Net After Give-Back,Valuation Est (End),Key Product Landmark,Key Growth/Social,Key Mission/Event
Y1 Q1,2026 Q3,80,0,0,0,3500,-3500,1000000,Supabase + ID QA,Waitlist + 3 Reels,3 CA/TN shelter prospects
Y1 Q2,2026 Q4,350,45,45,2025,2800,-836,1200000,Public preview launch,Founding 500 campaign,10% give-back formula
Y1 Q3,2027 Q1,750,130,85,6000,4200,1620,1500000,ID biometric pilot Oct 1,First reunion Reel,Tennessee pilot kickoff
Y1 Q4,2027 Q2,1400,280,150,13000,5800,4126,2000000,Break-even quarter,250 paying post,First give-back 50/50
Y2 Q1,2027 Q3,2200,450,170,19700,7200,9720,2500000,Monitor relay beta,450 paying announce,Veteran sponsored seats
Y2 Q2,2027 Q4,3200,720,270,31200,8800,18270,3000000,ID promotion Jan 1,Unchipped campaign,20 shelter waitlist
Y2 Q3,2028 Q1,4300,1050,330,44800,10500,27840,3800000,Scanner kits to 6 shelters,1000 paying milestone,First reunion PR
Y2 Q4,2028 Q2,5500,1450,400,62500,12800,41956,4500000,AAHA lookup beta,Newsletter monthly,Q2 give-back report
Y3 Q1,2028 Q3,6800,1900,450,80300,15200,48883,5500000,20 shelter ID partners,1900 paying,Grant submitted
Y3 Q2,2028 Q4,8200,2400,500,102100,17800,74170,6500000,Premium ID tier,Social viral push,Veteran partnership
Y3 Q3,2029 Q1,9600,2950,550,126050,20500,93193,7500000,Monitor 100 stream test,2950 paying,Shelter B2B template
Y3 Q4,2029 Q2,11200,3600,650,154900,23500,117120,9000000,150K ARR run rate,National PWA week,5+ reunions impact v1
Y4 Q1,2029 Q3,12800,4300,700,185700,27000,140159,11000000,Vet lite portal,4300 paying,Shelter conference
Y4 Q2,2029 Q4,14500,5100,800,220900,31000,163483,13000000,RLUSD + Stripe live,TikTok affiliate test,Name shelter partners
Y4 Q3,2030 Q1,16200,6000,900,261000,35500,199720,15000000,300K quarter path,6000 paying video,15 shelters 100 vet seats
Y4 Q4,2030 Q2,18000,7000,1000,306000,40000,235700,18000000,Security audit,Ads test if CAC ok,National adoption day
Y5 Q1,2030 Q3,19800,8200,1200,359800,45000,285226,20000000,Support VA hired,8200 paying,Series A decision memo
Y5 Q2,2030 Q4,21800,9500,1300,418500,52000,324845,23000000,Scanner SKU scale,Everything app PR,2M give-back track
Y5 Q3,2031 Q1,23800,11000,1500,487000,60000,359890,27000000,White-label ID pilot,11000 paying,75 shelters
Y5 Q4,2031 Q2,26000,12800,1800,569200,68000,445076,30000000,2M ARR run rate,Year 5 NPS,Annual reunion gala
Y6 Q1,2031 Q3,28500,14000,1200,620000,72000,485000,32000000,Shelter chain API,14000 paying,Veteran co-brand bundle
Y6 Q2,2031 Q4,31000,15100,1100,655000,76000,510000,34000000,Affiliate dashboard,Win-back campaign,100th shelter
Y6 Q3,2032 Q1,33500,15800,700,685000,80000,530000,36000000,Cat beta research,Podcast sponsor,Impact report v2
Y6 Q4,2032 Q2,36000,16500,700,715000,84000,550000,38000000,2.35M annual rev,Founding Alumni event,500K give-back cum
Y7 Q1,2032 Q3,38500,17400,900,745000,88000,570000,40000000,Vet clinic dashboard,17K paying,Shelter training cert
Y7 Q2,2032 Q4,41000,18200,800,770000,92000,590000,42000000,Referral loyalty,SuperBud shorts,500 vet service seats
Y7 Q3,2033 Q1,43500,19200,1000,800000,96000,615000,45000000,UK/CA research,Category leader PR,Shelter association webinar
Y7 Q4,2033 Q2,46000,21000,1800,835000,100000,640000,48000000,2.95M annual rev,21K paying,200 shelters
Y8 Q1,2033 Q3,49000,22500,1500,870000,105000,665000,52000000,Scanner Gen 2,Whole-food co-marketing,Vet tech scholarship
Y8 Q2,2033 Q4,52000,23500,1000,900000,108000,690000,55000000,Nutrition score v1,SuperBud ebook lead magnet,1M give-back run rate
Y8 Q3,2034 Q1,55000,24800,1300,930000,112000,710000,58000000,Data room prep optional,TV segment pitch,250 shelters
Y8 Q4,2034 Q2,58000,26500,1700,965000,116000,735000,62000000,3.65M annual rev,SuperBud Awards,10-year Buddy event
Y9 Q1,2034 Q3,61500,28200,1700,1005000,120000,765000,68000000,State shelter contract,28K paying,Veteran endowment talk
Y9 Q2,2034 Q4,64500,29500,1300,1040000,124000,790000,72000000,SuperBud daily check-in,Pet store QR pilot,University study
Y9 Q3,2035 Q1,67500,30800,1300,1075000,128000,815000,78000000,Vet API marketplace,Reunion telethon,2M single-year give-back
Y9 Q4,2035 Q2,70500,32000,1200,1110000,132000,840000,82000000,4.45M annual rev,Founder letter,300 shelters
Y10 Q1,2035 Q3,74000,34500,2500,1155000,138000,875000,88000000,Cats module GA,34.5K paying,Foundation setup counsel
Y10 Q2,2035 Q4,77500,36200,1700,1195000,142000,905000,92000000,Acquirer talks optional,Holiday SuperBud,Record Q4 give-back
Y10 Q3,2036 Q1,81000,37400,1200,1230000,146000,930000,98000000,Master Wellness bundle,10-year member reunion,1M symptom checks PR
Y10 Q4,2036 Q2,84500,38500,1100,1270000,150000,960000,110000000,5.35M annual rev,38.5K paying goal,10-year impact report
